,name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
0,100%_Natural_Bran,Q,C,120,3.0,5.0,15.0,2.0,8.0,8.0,135.0,25.0,3,1.0,1.0,33.983679
1,All-Bran,K,C,70,4.0,1.0,260.0,1.75,7.0,5.0,90.0,25.0,3,1.0,0.33,59.425505
2,All-Bran_with_Extra_Fiber,K,C,50,4.0,0.0,140.0,1.75,8.0,0.0,90.0,25.0,3,1.0,0.5,93.704912
3,Almond_Delight,R,C,110,2.0,2.0,200.0,1.0,14.0,8.0,96.21621621621621,25.0,3,1.0,0.75,34.384843
4,Apple_Cinnamon_Cheerios,G,C,110,2.0,2.0,180.0,1.5,10.5,10.0,70.0,25.0,1,1.0,0.75,29.509541
5,Apple_Jacks,K,C,110,2.0,0.0,125.0,1.0,11.0,14.0,30.0,25.0,2,1.0,1.0,33.174094
6,Basic_4,G,C,130,3.0,2.0,210.0,2.0,18.0,8.0,100.0,25.0,3,1.33,0.75,37.038562
7,Bran_Chex,R,C,90,2.0,1.0,200.0,4.0,15.0,6.0,125.0,25.0,1,1.0,0.67,49.120253
8,Bran_Flakes,P,C,90,3.0,0.0,210.0,5.0,13.0,5.0,190.0,25.0,3,1.0,0.67,53.313813
9,Cap'n'Crunch,Q,C,120,1.0,2.0,220.0,0.0,12.0,12.0,35.0,25.0,2,1.0,0.75,18.042851
10,Cheerios,G,C,110,2.5,2.0,290.0,2.0,17.0,1.0,105.0,25.0,1,1.0,1.25,50.764999
11,Cinnamon_Toast_Crunch,G,C,120,1.0,3.0,210.0,0.0,13.0,9.0,45.0,25.0,2,1.0,0.75,19.823573
12,Clusters,G,C,110,3.0,2.0,140.0,2.0,13.0,7.0,105.0,25.0,3,1.0,0.5,40.400208
13,Cocoa_Puffs,G,C,110,1.0,1.0,180.0,0.0,12.0,13.0,55.0,25.0,2,1.0,1.0,22.736446
14,Corn_Chex,R,C,110,2.0,0.0,280.0,0.0,22.0,3.0,25.0,25.0,1,1.0,1.0,41.445019
15,Corn_Flakes,K,C,100,2.0,0.0,290.0,1.0,21.0,2.0,35.0,25.0,1,1.0,1.0,45.863324
